pos_x,pos_y,rotation,side,designator,mpn,pack,footprint,value,mount_type
169.05,-69.24,90.0,top,R64,,,R_0805_2012Metric,220R,smt
117.86,-115.08,0.0,top,R65,,,R_0805_2012Metric,510R,smt
166.93,-69.23,-90.0,top,R66,,,R_0805_2012Metric,910R,smt
87.16,-131.9725,-90.0,top,R67,,,R_0805_2012Metric,910R,smt
87.21,-135.7225,-90.0,top,R68,,,R_0805_2012Metric,220R,smt
92.34,-86.68,0.0,top,R69,,,R_0805_2012Metric,47K,smt
172.25,-54.39,-90.0,top,R7,,,R_0805_2012Metric,4K32,smt
83.2225,-101.07,0.0,top,R70,,,R_0805_2012Metric,4K7,smt
175.41,-53.78,180.0,top,R8,,,R_0805_2012Metric,1K5,smt
171.27,-48.59,90.0,top,R9,,,R_0805_2012Metric,4K32,smt
190.87,-56.21,180.0,top,RV2,,,Potentiometer_Bourns_3296W_Vertical,2K5,tht
190.94,-46.94,180.0,top,RV3,,,Potentiometer_Bourns_3296W_Vertical,2K5,tht
148.35,-129.57,0.0,top,TR1,,,Transformer_Hahn_BV_202_0157,Hahn_BV_202_0157,tht
174.975,-60.195,90.0,top,U1,,,SOIC-8_3.9x4.9mm_P1.27mm,LM741,smt
163.8775,-90.685,90.0,top,U10,,,SOT-223-3_TabPin2,LT3092xST,smt
163.92,-100.39,90.0,top,U11,,,SOT-223-3_TabPin2,LT3092xST,smt
154.71,-49.89,90.0,top,U12,,,SOIC-8_3.9x4.9mm_P1.27mm,REF01CS,smt
97.395,-70.365,90.0,top,U13,,,SOIC-8_3.9x4.9mm_P1.27mm,LM741,smt
141.195,-101.855,90.0,top,U14,,,SOIC-8_3.9x4.9mm_P1.27mm,LM741,smt
92.91,-134.39,0.0,top,U15,,,SOT-223-3_TabPin2,LM337,smt
175.03,-70.6,0.0,top,U16,,,SOT-223-3_TabPin2,LM317,smt
175.2475,-48.64,90.0,top,U2,,,SOIC-8_3.9x4.9mm_P1.27mm,LM741,smt
175.14,-93.73,90.0,top,U5,,,SOIC-8_3.9x4.9mm_P1.27mm,LM741,smt
99.49,-112.83,90.0,top,U6,,,SOIC-8_3.9x4.9mm_P1.27mm,LM741,smt
154.295,-84.115,90.0,top,U7,,,SOIC-8_3.9x4.9mm_P1.27mm,LM741,smt
110.71,-84.12,90.0,top,U8,,,SOIC-8_3.9x4.9mm_P1.27mm,LM741,smt
